Time (s),Net Force (N),Field Alignment Index (%),Torsional Stability (%),Lift Efficiency (%),Power Draw (W)
0.000,0.000,50.0,100.0,0.00,0.00
0.100,1.284,57.3,99.5,13.65,4.25
0.200,2.597,65.1,98.1,27.83,7.62
0.300,3.834,73.6,95.8,39.47,10.45
0.400,4.992,81.2,93.3,52.19,13.21
0.500,6.021,87.5,90.1,64.55,15.84
0.600,6.898,92.1,86.7,73.91,18.22
0.700,7.522,95.3,83.4,79.32,20.14
0.800,7.889,97.1,80.1,84.15,21.98
0.900,8.017,98.0,77.5,86.40,23.01
1.000,8.021,98.2,76.9,87.05,23.11
...
9.000,7.441,93.3,88.4,78.29,20.72
9.500,6.847,90.1,91.6,69.71,18.94
10.000,6.145,86.4,93.9,62.09,17.32
(Snippet of full dataset capturing 10 seconds of real-time modulation feedback at 100ms intervals.)
